ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
150001,Gujarat,Ahmedabad,Locality_80,Apartment,5,3648,270.97,0.07,1996,Unfurnished,2,7,29,4,4,High,No,No,Garden,West,Broker,Under_Construction
150002,West Bengal,Durgapur,Locality_8,Villa,2,894,363.79,0.41,2013,Furnished,17,15,12,2,10,High,Yes,Yes,"Garden, Gym, Playground, Clubhouse",East,Builder,Under_Construction
150003,Punjab,Amritsar,Locality_46,Villa,2,1481,97.36,0.07,1999,Semi-furnished,27,10,26,4,1,Medium,No,Yes,"Clubhouse, Gym, Garden",East,Broker,Under_Construction
150004,West Bengal,Durgapur,Locality_220,Independent House,3,1050,388.69,0.37,2009,Semi-furnished,23,4,16,2,8,High,Yes,Yes,"Pool, Clubhouse, Garden",South,Owner,Ready_to_Move
150005,Karnataka,Mangalore,Locality_200,Independent House,4,612,224.07,0.37,2012,Semi-furnished,8,13,13,4,2,Low,No,Yes,"Clubhouse, Pool, Garden",North,Builder,Under_Construction
150006,Tamil Nadu,Chennai,Locality_21,Independent House,5,2829,11.6,0.0,2016,Furnished,20,24,9,5,8,High,Yes,No,"Garden, Gym, Pool",East,Owner,Ready_to_Move
150007,Punjab,Ludhiana,Locality_99,Independent House,4,1248,397.28,0.32,2023,Unfurnished,3,22,2,10,5,High,No,Yes,Gym,North,Owner,Ready_to_Move
150008,Jharkhand,Jamshedpur,Locality_288,Apartment,3,2980,10.18,0.0,2010,Furnished,24,19,15,6,8,High,No,Yes,"Clubhouse, Pool, Playground",North,Builder,Ready_to_Move
150009,Bihar,Patna,Locality_379,Independent House,4,3212,53.22,0.02,2007,Semi-furnished,24,27,18,6,1,Medium,Yes,No,Gym,South,Builder,Ready_to_Move
150010,Haryana,Faridabad,Locality_11,Independent House,2,1563,95.7,0.06,1993,Semi-furnished,19,1,32,5,1,Medium,Yes,No,"Pool, Garden, Clubhouse, Gym",East,Broker,Ready_to_Move
150011,Madhya Pradesh,Bhopal,Locality_265,Apartment,4,1497,466.8,0.31,2016,Semi-furnished,25,23,9,7,3,High,No,Yes,"Garden, Clubhouse",North,Broker,Under_Construction
150012,Bihar,Gaya,Locality_290,Apartment,2,3106,383.03,0.12,2018,Unfurnished,14,17,7,5,4,Medium,Yes,Yes,Gym,North,Owner,Ready_to_Move
150013,Rajasthan,Jaipur,Locality_305,Villa,1,4809,423.61,0.09,2007,Furnished,5,9,18,1,10,Low,Yes,Yes,"Gym, Pool, Playground, Clubhouse",North,Broker,Ready_to_Move
150014,Telangana,Hyderabad,Locality_366,Apartment,5,3987,189.73,0.05,2008,Furnished,22,4,17,2,3,Medium,No,No,"Playground, Garden, Gym",South,Broker,Ready_to_Move
150015,Madhya Pradesh,Indore,Locality_58,Independent House,2,2262,450.02,0.2,2007,Unfurnished,13,17,18,10,2,Low,No,Yes,"Garden, Gym, Playground",North,Builder,Ready_to_Move
150016,Karnataka,Mysore,Locality_230,Apartment,2,2121,59.35,0.03,2009,Semi-furnished,11,21,16,8,8,Medium,No,Yes,"Clubhouse, Pool, Garden, Gym, Playground",South,Builder,Ready_to_Move
150017,Rajasthan,Jodhpur,Locality_446,Apartment,2,3195,373.42,0.12,2001,Furnished,2,16,24,1,2,Medium,No,Yes,"Garden, Playground, Clubhouse, Pool, Gym",North,Broker,Ready_to_Move
150018,Chhattisgarh,Raipur,Locality_37,Apartment,2,3435,277.13,0.08,1990,Furnished,2,18,35,2,7,Medium,No,Yes,"Gym, Garden, Pool",South,Owner,Ready_to_Move
